DE000;BU2Z01;5;2,600;Bund 23;15.08.2033;9 / 9;27,00;98,930;2,73;99,797
DE000;113522;6;4,750;Bund 03;04.07.2034;10 / 7;24,50;117,950;2,78;119,663
DE000;110251;5;0,000;Bund 20;15.05.2035;11 / 6;23,25;72,580;2,83;72,580
DE000;110254;9;0,000;Bund 21;15.05.2036;12 / 6;25,75;70,100;2,88;70,100
DE000;113527;5;4,000;Bund 05;04.01.2037;13 / 1;28,25;111,900;2,90;115,330
DE000;110259;8;1,000;Bund 22;15.05.2038;14 / 6;20,50;77,250;2,95;77,747
DE000;113532;5;4,250;Bund 07;04.07.2039;15 / 7;19,25;115,930;2,96;117,463
DE000;113536;6;4,750;Bund 08;04.07.2040;16 / 7;21,50;123,270;2,96;124,983
DE000;113543;2;3,250;Bund 10;04.07.2042;18 / 7;19,50;103,660;2,99;104,832
DE000;113548;1;2,500;Bund 12;04.07.2044;20 / 7;30,50;92,700;2,98;93,602
DE000;103057;5;0,100;Bund 15 index. ;15.04.2046;22 / 5;14,25;89,880;0,58;112,853
DE000;110234;1;2,500;Bund 14;15.08.2046;22 / 9;31,50;92,400;2,96;93,015
DE000;110243;2;1,250;Bund 17;15.08.2048;24 / 9;37,50;70,750;2,93;71,057
DE000;110248;1;0,000;Bund 19;15.08.2050;26 / 9;39,50;46,600;2,90;46,600
DE000;103072;4;0,000;Bund 21 Green;15.08.2050;26 / 9;10,00;46,840;2,88;46,840
DE000;110257;2;0,000;Bund 21;15.08.2052;28 / 9;28,50;43,970;2,90;43,970
DE000;110261;4;1,800;Bund 22;15.08.2053;29 / 9;25,00;77,380;2,95;77,823
DE000;103075;7;1,800;Bund 23 Green;15.08.2053;29 / 9;5,50;77,530;2,94;77,973
